title,description,url,page_no
"COVID-19 in Berlin, Fallzahlen und Indikatoren - Gesamtübersicht","Tabelleninhalt: COVID-19 Erkrankungen, Fallzahlen und Indikatoren des Lageberichts des LAGeSo Berlin seit dem 16.03.2020",https://daten.berlin.de/datensaetze/covid-19-berlin-fallzahlen-und-indikatoren-gesamt%C3%BCbersicht,0
"COVID-19 in Berlin, Verteilung in den Bezirken - Gesamtübersicht",Tabelleninhalt: die an das LAGeSo übermittelten COVID-19 Erkrankungen nach Meldedatum (Tag) und Bezirk ab 03.03.2020.,https://daten.berlin.de/datensaetze/covid-19-berlin-verteilung-den-bezirken-gesamt%C3%BCbersicht,0
"COVID-19 in Berlin, 7-Tage-Inzidenz nach Altersgruppen und Meldewochen - Gesamtübersicht","Tabelleninhalt: COVID-19 Erkrankungen, Fallzahlen und Indikatoren des Lageberichts des LAGeSo Berlin seit dem 16.03.2020",https://daten.berlin.de/datensaetze/covid-19-berlin-7-tage-inzidenz-nach-altersgruppen-und-meldewochen-gesamt%C3%BCbersicht,0
"COVID-19 in Berlin, Verteilung in den Bezirken","Tabelleninhalt: die an das LAGeSo übermittelten COVID-19 Erkrankungen nach Bezirk, Inzidenz und geschätzter Zahl genesener Personen.",https://daten.berlin.de/datensaetze/covid-19-berlin-verteilung-den-bezirken,0
"COVID-19 in Berlin, Verteilung nach Altersgruppen",Tabelleninhalt: an das LAGeSo übermittelten COVID-19 Erkrankungen nach Altersgruppen,https://daten.berlin.de/datensaetze/covid-19-berlin-verteilung-nach-altersgruppen,0
Berichte und Publikationen der OE QPK im Bezirksamt Mitte,Veröffentlichungen und Berichte der OE QPK im Bezirksamt Mitte von Berlin,https://daten.berlin.de/datensaetze/berichte-und-publikationen-der-oe-qpk-im-bezirksamt-mitte,0
Winterspiel- und Bewegungsangebote in Berlin Mitte,Standorte der Winterspiel- und Bewegungsangebote in Berlin-Mitte,https://daten.berlin.de/datensaetze/winterspiel-und-bewegungsangebote-berlin-mitte,0
Liste der Badestellen,Die auf der Badestellenkarte für Berlin ausgewiesenen Bäder und Badestellen werden regelmäßig hinsichtlich der Badegewässerqualität vom 15. Mai bis 15.,https://daten.berlin.de/datensaetze/liste-der-badestellen,0
"LISA ll Studie in Berlin Mitte - Lebensqualität, Interessen & Selbständigkeit im Alter","Nach nunmehr zehn Jahren führte das Bezirksamt Mitte eine zweite Befragung der über 60-jährigen Bevölkerung im Bezirk durch. Neben Fragen zur Gesundheit, Wohn- und Lebenssituation enthielt der Fragebogen auch standardisierte Instrumente, um z.B.",https://daten.berlin.de/datensaetze/lisa-ll-studie-berlin-mitte-lebensqualit%C3%A4t-interessen-selbst%C3%A4ndigkeit-im-alter,0
Öffentliche Toiletten in Berlin,Hier finden Sie einen Überblick zu den öffentlichen Toiletten in Berlin,https://daten.berlin.de/datensaetze/%C3%B6ffentliche-toiletten-berlin,0
