title,description,url,page_no
Angebote,"Den “berlinpass” bekommen auf Antrag alle Personen, die in Berlin ihren Hauptwohnsitz haben und folgende Leistungen erhalten:",https://daten.berlin.de/datensaetze/angebote,0
Angebote für berlinpass,"Den ""berlinpass"" bekommen auf Antrag alle Personen, die in Berlin ihren Hauptwohnsitz haben und folgende Leistungen erhalten:",https://daten.berlin.de/datensaetze/angebote-f%C3%BCr-berlinpass,0
Sozialstatistisches Berichtswesen Berlin: Monatsstatistiken zu den Empfänger/innen und Bedarfsgemeinschaften zum Sozialgesetzbuch XII - SGB XII/ ab 2005,Bereitstellung von 5.807 Dokumenten (5.807 XLS-Dateien) für den Zeitraum vom 31.01.2005 bis 31.12.2017 mit 14 verschiedenen Raumbezügen.,https://daten.berlin.de/datensaetze/sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empf%C3%A4ngerinnen-und-3,0
Sozialstatistisches Berichtswesen Berlin: Sozialgesetzbuch XII - SGB XII/ ab 2005 -> Hilfe zum Lebensunterhalt (SGB XII 3. Kapitel) -> Empfänger/innen und Bedarfsgemeinschaften,Bereitstellung von 2.039 Dokumenten (2.039 XLS-Dateien) für den Zeitraum vom 31.01.2005 bis 31.12.2017 mit 14 verschiedenen Raumbezügen.,https://daten.berlin.de/datensaetze/sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-hilfe-zum,0
Sozialstatistisches Berichtswesen Berlin: Asylbewerberleistungsgesetz - AsylbLG -> Asylbewerber/innen -> Empfänger/innen und Bedarfsgemeinschaften,Bereitstellung von 2.065 Dokumenten (2.065 XLS-Dateien) für den Zeitraum vom 31.01.2002 bis 31.12.2017 mit 15 verschiedenen Raumbezügen.,https://daten.berlin.de/datensaetze/sozialstatistisches-berichtswesen-berlin-asylbewerberleistungsgesetz-asylblg,0
Sozialstatistisches Berichtswesen Berlin: Monatsstatistiken zu den Empfänger/innen und Bedarfsgemeinschaften zum Landespflegegeldgesetz - LPflGG/ ab 2004,Bereitstellung von 1.883 Dokumenten (1.883 XLS-Dateien) für den Zeitraum vom 31.01.2005 bis 31.12.2017 mit 13 verschiedenen Raumbezügen.,https://daten.berlin.de/datensaetze/sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empf%C3%A4ngerinnen-und-1,0
Sozialstatistisches Berichtswesen Berlin: Sozialgesetzbuch XII - SGB XII/ ab 2005 -> Grundsicherung (SGB XII 4. Kapitel) -> Empfänger/innen und Bedarfsgemeinschaften,Bereitstellung von 1.896 Dokumenten (1.896 XLS-Dateien) für den Zeitraum vom 31.12.2005 bis 31.12.2017 mit 14 verschiedenen Raumbezügen.,https://daten.berlin.de/datensaetze/sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005,0
Sozialstatistisches Berichtswesen Berlin: Monatsstatistiken zu den Empfänger/innen und Bedarfsgemeinschaften zum Asylbewerberleistungsgesetz - AsylbLG,Bereitstellung von 2.065 Dokumenten (2.065 XLS-Dateien) für den Zeitraum vom 31.01.2002 bis 31.12.2017 mit 15 verschiedenen Raumbezügen.,https://daten.berlin.de/datensaetze/sozialstatistisches-berichtswesen-berlin-monatsstatistiken-zu-den-empf%C3%A4ngerinnen-und-2,0
Sozialstatistisches Berichtswesen Berlin: Sozialgesetzbuch XII - SGB XII/ ab 2005 -> Hilfe in besonderen Lebenslagen (SGB XII 5.-9. Kapitel) -> Empfänger/innen und Bedarfsgemeinschaften,Bereitstellung von 1.872 Dokumenten (1.872 XLS-Dateien) für den Zeitraum vom 31.01.2006 bis 31.12.2017 mit 13 verschiedenen Raumbezügen.,https://daten.berlin.de/datensaetze/sozialstatistisches-berichtswesen-berlin-sozialgesetzbuch-xii-sgb-xii-ab-2005-hilfe,0
Sozialstatistisches Berichtswesen Berlin: Landespflegegeldgesetz - LPflGG/ ab 2004 -> Landespflegegeld -> Empfänger/innen und Bedarfsgemeinschaften,Bereitstellung von 1.883 Dokumenten (1.883 XLS-Dateien) für den Zeitraum vom 31.01.2005 bis 31.12.2017 mit 13 verschiedenen Raumbezügen.,https://daten.berlin.de/datensaetze/sozialstatistisches-berichtswesen-berlin-landespflegegeldgesetz-lpflgg-ab-2004,0
