title,url,page_no
Pflege in Berlin 2019 Themenfeld Bevölkerung,http://www.gsi-berlin.info/redirectA.asp?filename=TG0204010114202101.xls,1
Pflege in Berlin 2019 Themenfeld Pflegebedürftige,http://www.gsi-berlin.info/redirectA.asp?filename=TG0204010214202101.xls,1
Pflege in Berlin 2019 Themenfeld Pflegeberufeausbildung,http://www.gsi-berlin.info/redirectA.asp?filename=TG0204010514202101.xls,1
Pflege in Berlin 2019 Themenfeld Pflegepersonal,http://www.gsi-berlin.info/redirectA.asp?filename=TG0204010414202101.xls,1
Pflege in Berlin 2019 Themenfeld Pflegerische Infrastruktur,http://www.gsi-berlin.info/redirectA.asp?filename=TG0204010314202101.xls,1
"Im ambulanten Bereich tätige Zahnärztinnen und Zahnärzte in Berlin 2003 - 2021 (Stand: 31.12. bzw. Januar) nach Geschlecht, Staatsangehörigkeit und Bezirken",http://www.gsi-berlin.info/redirectA.asp?filename=TG0808111Z14202177.xls,1
"Zahnärztinnen und Zahnärzte in Berlin 2010 - 2021 (Stand: 31.12. bzw. xx.01) nach Geschlecht, Tätigkeitsbereich und Staatsangehörigkeit",http://www.gsi-berlin.info/redirectA.asp?filename=TG0800810100202177.xls,1
Zahnärztinnen/Zahnärzte und Kieferorthopädinnen/Kieferorthopäden in ambulanten Einrichtungen in Berlin 2010 - 2021 (Stand: 31.12. bzw xx.01) nach Geschlecht,http://www.gsi-berlin.info/redirectA.asp?filename=TG0800811100202177.xls,1
"Ärztlich geleitete ambulante Gesundheitseinrichtungen in Berlin 2005 - 2021 nach Versorgungsbereich, Art der Einrichtung sowie dort tätigen Ärztinnen/Ärzten und Psychotherapeutinnen/-therapeuten",http://www.gsi-berlin.info/redirectA.asp?filename=TG0800061100202179.xls,1
Berufstätige Psychotherapeutinnen/Psychotherapeuten und psychotherapeutisch weitergebildete Ärztinnen/Ärzte in Berlin 2010 - 2020 (Stand: 31.12. bzw. 01.01. des Folgejahres) nach Geschlecht,http://www.gsi-berlin.info/redirectA.asp?filename=TG0800812100202177.xls,1
