title,url,page_no
Ausgaben für Hilfen zur Gesundheit gemäß GMG / §264 SGB V in EURO - Berlin und Bezirke (Träger SOZ; JUG; LAF) (Stand 31.12.2019,http://www.gsi-berlin.info/redirectA.asp?filename=TS9100199014201912.xls,1
Ausgaben und Einnahmen der Grundsicherung gemäß SGB II - Berlin und Bezirke -  Kapitel 3960(Stand 31.12.2019,http://www.gsi-berlin.info/redirectA.asp?filename=TS2100199014201912.xls,1
Ausgaben und Einnahmen gemäß 4. Kapitel SGB XII in Berlin und den Berliner Bezirken nach ausgewählten Merkmalen (Stand 31.12.2019,http://www.gsi-berlin.info/redirectA.asp?filename=TS5100199014201912.xls,1
Ausgaben und Einnahmen gemäß AsylbLG in Berlin nach Bezirken (Stand 31.12.2019,http://www.gsi-berlin.info/redirectA.asp?filename=TS3100199014201912.xls,1
Ausgaben und Einnahmen gemäß SGB XII in Berlin und den Berliner Bezirken nach ausgewählten Merkmalen (Stand 31.12.2019,http://www.gsi-berlin.info/redirectA.asp?filename=TS1100199014201912.xls,1
Ausgaben und Erstattungen für Pflegegelder gemäß Landespflegegeldgesetz (LPflGG) - Berlin und Bezirke  (Stand 31.12.2019,http://www.gsi-berlin.info/redirectA.asp?filename=TS4100199014201912.xls,1
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Berlin außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199014201912.xls,1
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Charlottenburg-Wilmersdorf außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199304201912.xls,1
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Friedrichshain-Kreuzberg außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199302201912.xls,1
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Lichtenberg außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199311201912.xls,1
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Marzahn-Hellersdorf außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199310201912.xls,2
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Mitte außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199301201912.xls,2
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Neukölln außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199308201912.xls,2
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Pankow außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199303201912.xls,2
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Reinickendorf außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199312201912.xls,2
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Spandau außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199305201912.xls,2
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Steglitz-Zehlendorf außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199306201912.xls,2
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Tempelhof-Schöneberg außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199307201912.xls,2
Empfänger/innen und Bedarfsgemeinschaften laufender Hilfe zum Lebensunterhalt gemäß dem 3. Kap. SGB XII in Treptow-Köpenick außerhalb von und in Einrichtungen nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1200199309201912.xls,2
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Berlin nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199014201912.xls,2
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Charlottenburg-Wilmersdorf nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199304201912.xls,3
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Friedrichshain-Kreuzberg nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199302201912.xls,3
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Lichtenberg nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199311201912.xls,3
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Marzahn-Hellersdorf nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199310201912.xls,3
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Mitte nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199301201912.xls,3
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Neukölln nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199308201912.xls,3
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Pankow nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199303201912.xls,3
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Reinickendorf nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199312201912.xls,3
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Spandau nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199305201912.xls,3
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Steglitz-Zehlendorf nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199306201912.xls,3
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Tempelhof-Schöneberg nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199307201912.xls,4
Empfänger/innen und Bedarfsgemeinschaften von bedarfsorientierter Grundsicherung im Alter und bei Erwerbsminderung gemäß dem 4. Kap. SGB XII in Treptow-Köpenick nach ausgewählten Merkmalen (Stand 31.12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS1700199309201912.xls,4
Empfänger/innen und Bedarfsgemeinschaften von Regelleistungen gemäß AsylbLG im LAF nach ausgewählten Merkmalen (Stand: 12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS3200199313201912.xls,4
Empfänger/innen und Bedarfsgemeinschaften von Regelleistungen gemäß AsylbLG in Berlin nach ausgewählten Merkmalen (Stand: 12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS3200199014201912.xls,4
Empfänger/innen und Bedarfsgemeinschaften von Regelleistungen gemäß AsylbLG in Charlottenburg-Wilmersdorf nach ausgewählten Merkmalen (Stand: 12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS3200199304201912.xls,4
Empfänger/innen und Bedarfsgemeinschaften von Regelleistungen gemäß AsylbLG in Friedrichshain-Kreuzberg nach ausgewählten Merkmalen (Stand: 12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS3200199302201912.xls,4
Empfänger/innen und Bedarfsgemeinschaften von Regelleistungen gemäß AsylbLG in Lichtenberg nach ausgewählten Merkmalen (Stand: 12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS3200199311201912.xls,4
Empfänger/innen und Bedarfsgemeinschaften von Regelleistungen gemäß AsylbLG in Marzahn-Hellersdorf nach ausgewählten Merkmalen (Stand: 12.2019),http://www.gsi-berlin.info/redirectA.asp?filename=TS3200199310201912.xls,4
